,Game_no,End_board,Black_score,Winner,Move_record
0,1,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",16,Lefty Black,"[34, 33, 32, 22, 43, 31, 11, 12, 13, 53, 63, 65, 64, 23, 21, 41, 51, 52, 56, 66, 14, 42, 24, 74, 84, 57, 67, 35, 36, 46, 47, 58, 68, 78, 77, 37, 38, 48, 88, 62, 61, 73, 82, 75, 86, 72, 81, 85, 83, 76, 87, 15, 16, 25, 26, 71, None, 17, 18, 28, 27, None]"
0,2,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-10,Controller White,"[43, 33, 23, 22, 34, 13, 11, 21, 31, 35, 12, 24, 14, 32, 36, 56, 67, 57, 66, 78, 68, 58, 46, 76, 86, 85, 84, 75, 48, 38, 77, 65, 74, 64, 53, 47, 37, 42, 52, 28, 27, 41, 51, 88, 87, 83, 73, 82, 63, 62, 71, 61, 72, 81, None, 25, 16, 26, 17, 18, None, 15, None]"
0,3,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",20,Lefty Black,"[43, 33, 23, 35, 34, 53, 64, 42, 63, 12, 24, 13, 31, 62, 61, 71, 81, 41, 26, 52, 51, 32, 56, 25, 14, 15, 22, 21, 11, 36, 16, 46, 47, 65, 76, 67, 66, 85, 68, 77, 88, 75, 84, 83, 74, 78, 57, 73, 72, 58, 82, 38, 86, 87, 48, 37, 27, 28, 18, 17, None]"
0,4,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",26,Lefty Black,"[43, 33, 23, 35, 34, 53, 64, 22, 32, 13, 52, 24, 14, 15, 11, 42, 66, 31, 41, 51, 36, 46, 26, 25, 16, 12, 21, 47, 61, 37, 38, 48, 58, 27, 18, 17, 56, 65, 74, 63, 62, 57, 68, 67, 76, 78, 88, 77, 75, 87, 85, 86, 73, 84, 83, 82, 81, 72, 71, None, 28, None]"
0,5,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",46,Lefty Black,"[43, 33, 23, 35, 34, 53, 64, 22, 32, 13, 52, 24, 14, 25, 11, 15, 26, 74, 56, 37, 84, 42, 41, 46, 36, 47, 38, 61, 63, 65, 76, 12, 16, 31, 21, 51, 71, 17, 62, 27, 18, 75, 66, 85, 86, 72, 81, 57, 68, 58, 48, 28, 67, 73, 83, 82, None, 78, 88, 77, 87, None]"
0,6,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-14,Controller White,"[43, 33, 23, 35, 34, 53, 64, 22, 32, 13, 52, 24, 14, 15, 11, 42, 66, 25, 16, 17, 31, 26, 36, 61, 51, 47, 71, 46, 48, 62, 63, 41, 37, 21, 12, 38, 18, 81, 28, 56, 67, 57, 68, 58, 65, 27, None, 78, 88, 72, 73, 82, 74, 83, 84, 85, 75, 86, None, 76, 77, 87, None]"
0,7,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",34,Lefty Black,"[43, 33, 23, 22, 34, 13, 11, 21, 31, 35, 12, 32, 36, 24, 14, 42, 41, 53, 63, 25, 46, 52, 64, 66, 77, 73, 83, 74, 84, 65, 62, 51, 61, 72, 81, 15, 71, 82, 26, 16, 75, 17, 18, 86, 56, 85, 87, 27, 37, 76, 67, 57, 58, 47, 48, 68, 78, 88, None, 28, 38, None]"
0,8,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",32,Lefty Black,"[43, 33, 23, 35, 34, 53, 64, 22, 32, 13, 52, 24, 14, 25, 11, 15, 26, 74, 56, 37, 84, 42, 41, 46, 36, 47, 16, 17, 38, 65, 66, 57, 58, 12, 18, 48, None, 31, 21, 63, 73, 62, 71, 72, 81, 51, 61, 82, 75, 28, 83, 68, 78, 27, 67, 76, 86, 85, None, 77, 88, 87, None]"
0,9,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",14,Lefty Black,"[43, 33, 23, 35, 34, 53, 64, 63, 62, 22, 32, 21, 11, 13, 31, 24, 14, 12, 36, 56, 42, 52, 41, 61, 65, 72, 51, 73, 81, 71, 25, 15, 16, 75, 86, 74, 84, 85, 66, 83, 82, 46, 47, 26, 17, 76, 67, 27, 18, 28, 37, 38, 58, 57, 68, 48, 77, 88, 78, 87, None]"
0,10,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",14,Lefty Black,"[34, 33, 32, 22, 43, 31, 11, 12, 13, 53, 63, 65, 64, 23, 21, 42, 41, 52, 62, 51, 61, 24, 35, 14, 25, 75, 74, 84, 86, 85, 83, 73, 66, 72, 81, 71, 15, 76, 82, 57, 56, 47, 38, 37, 36, 16, 17, 27, 18, 26, 46, 28, 68, 58, 48, 67, 78, 88, 77, 87, None]"
