,Game_no,End_board,Black_score,Winner,Move_record
0,1,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",0,Tie,"[43, 33, 23, 46, 47, 53, 63, 35, 64, 65, 66, 42, 41, 75, 76, 57, 85, 62, 25, 13, 72, 73, 82, 81, 71, 36, 67, 68, 74, 86, 87, 34, 48, 84, 52, 88, 37, 38, 77, 56, 27, 18, 26, 31, 17, 32, 21, 24, 14, 15, 16, 58, 78, 51, 28, 11, 83, 61, 12, 22, None]"
0,2,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-16,Cleric White,"[65, 66, 67, 64, 63, 46, 36, 26, 37, 38, 27, 56, 28, 76, 16, 18, 87, 62, 61, 86, 85, 35, 53, 33, 57, 73, 84, 34, 74, 52, 51, 75, 25, 72, 81, 68, 58, 48, 77, 88, 78, 83, 32, 31, 47, 43, 42, 14, 24, 13, 82, 23, 15, 22, 11, 41, 21, 17, 12, 71, None]"
0,3,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-14,Cleric White,"[65, 66, 43, 33, 67, 53, 42, 36, 35, 34, 64, 63, 62, 73, 84, 68, 26, 46, 75, 56, 57, 76, 86, 37, 24, 32, 78, 88, 74, 83, 25, 47, 72, 81, 52, 61, 71, 31, 51, 23, 48, 13, 22, 41, 58, 11, 21, 38, 82, 16, 15, 14, 12, 85, 87, 77, 28, 18, 17, 27, None]"
0,4,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-4,Cleric White,"[56, 66, 43, 33, 76, 53, 52, 63, 22, 36, 73, 34, 35, 32, 23, 65, 27, 11, 64, 83, 74, 37, 72, 81, 21, 67, 46, 86, 47, 18, 77, 88, 87, 13, 78, 84, 75, 48, 38, 28, 26, 16, 85, 24, 14, 42, 41, 15, 25, 58, 82, 61, 62, 57, 17, 51, 12, 31, None, 71, None, 68, None]"
0,5,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-14,Cleric White,"[65, 66, 67, 35, 33, 63, 25, 36, 64, 68, 77, 34, 62, 61, 37, 88, 74, 43, 75, 23, 72, 38, 27, 85, 52, 81, 76, 18, 56, 16, 42, 53, 82, 86, 78, 57, 58, 46, 47, 31, 73, 48, 13, 32, 26, 51, 17, 24, 15, 14, 41, 12, 71, 84, 83, 87, 22, 11, 21, 28, None]"
0,6,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'White', 'Black', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",10,Corner_Bot Black,"[65, 66, 34, 33, 67, 35, 24, 63, 43, 53, 42, 32, 46, 36, 64, 68, 76, 31, 62, 61, 75, 74, 83, 56, 57, 86, 73, 52, 51, 23, 27, 37, 26, 16, 38, 13, 85, 84, 77, 88, 14, 82, 87, 41, 81, 18, 72, 15, 17, 25, 47, 58, 48, 71, 21, 78, 22, 11, 12, 28, None]"
0,7,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",2,Corner_Bot Black,"[56, 66, 43, 33, 65, 64, 76, 67, 74, 63, 72, 62, 78, 81, 61, 36, 82, 68, 77, 88, 34, 35, 58, 53, 52, 73, 87, 46, 37, 48, 32, 23, 47, 38, 26, 16, 57, 84, 12, 13, 14, 31, 83, 24, 42, 41, 25, 27, 18, 51, 28, 71, 17, 85, 86, 15, 75, 11, 22, 21, None]"
0,8,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",26,Corner_Bot Black,"[43, 33, 65, 66, 67, 53, 42, 36, 35, 34, 64, 63, 52, 68, 24, 32, 77, 88, 76, 31, 78, 61, 51, 23, 74, 73, 58, 48, 71, 13, 72, 81, 25, 46, 56, 83, 47, 37, 75, 38, 57, 84, 85, 62, 26, 16, 41, 86, 87, None, 82, None, 14, 15, 27, 18, 28, 21, 11, 12, 17, None, 22, None]"
0,9,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-4,Cleric White,"[43, 33, 65, 66, 67, 53, 42, 36, 64, 63, 62, 73, 46, 68, 75, 56, 78, 88, 72, 81, 84, 83, 57, 76, 82, 61, 37, 35, 52, 38, 87, 85, 26, 34, 86, 74, 58, 48, 25, 31, 41, 47, 32, 23, 24, 13, 15, 16, 17, 14, 12, 51, 71, 21, 11, 27, 18, 22, 77, 28, None]"
0,10,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",0,Tie,"[65, 66, 34, 33, 67, 35, 22, 32, 25, 11, 31, 77, 56, 36, 88, 63, 37, 57, 47, 26, 72, 38, 27, 53, 62, 18, 46, 81, 73, 15, 71, 58, 68, 76, 86, 78, 64, 61, 75, 43, 24, 13, 48, 23, 51, 41, 21, 42, 52, 16, 28, 85, 74, 84, 83, 14, 12, 87, 17, 82, None]"
