turn,player,move,board,winner
0,,,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
1,Black,56,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
2,White,66,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
3,Black,65,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
4,White,64,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
5,Black,77,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
6,White,88,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
7,Black,53,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
8,White,35,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
9,Black,76,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
10,White,75,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
11,Black,87,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', 'White', 'Black', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
12,White,67,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', 'White', 'Black', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
13,Black,86,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', 'Black', 'Black', 'White', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
14,White,85,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
15,Black,46,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
16,White,63,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'Black', 'White', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
17,Black,43,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'Black', 'White', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
18,White,42,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', 'White', 'Black', 'Black', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', 'White', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
19,Black,78,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', 'White', 'Black', 'Black', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', 'Black', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
20,White,68,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', 'White', 'Black', 'Black', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', 'White', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
21,Black,73,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', 'White', 'Black', 'Black', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', '.', '.', 'Black', '.', 'White', 'White', 'White', 'White', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
22,White,72,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'White', '.', '.', '.', '?', '?', '.', 'White', 'Black', 'Black', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', '.', 'White', 'Black', '.', 'White', 'White', 'White', 'White', '?', '?', '.', '.', '.', '.', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
