,Game_no,End_board,Black_score,Winner,Move_record
0,1,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",44,Lefty Black,"[43, 35, 66, 65, 64, 75, 46, 67, 68, 53, 63, 74, 83, 84, 85, 77, 26, 86, 88, 82, 73, 72, 81, 71, 87, 57, 48, 76, 62, 78, 61, 58, None, 56, 47, 52, 42, 51, 41, 32, 21, 37, 36, 38, 28, 31, 33, 25, 34, 27, 18, 24, 13, 22, 11, 17, 14, 15, 16, 23, 12, None]"
0,2,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",32,Lefty Black,"[34, 53, 63, 73, 72, 35, 36, 71, 81, 26, 83, 46, 37, 64, 74, 82, 65, 62, 61, 56, 84, 85, 86, 76, 43, 52, 42, 51, 41, 75, 66, 87, 88, 67, 68, 33, 23, 48, 38, 28, 16, 57, 58, 32, 18, 77, 24, 47, 31, 22, 11, 78, 25, 27, 17, 21, None, 14, 13, 12, 15, None]"
0,3,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",34,Lefty Black,"[43, 53, 63, 52, 65, 56, 61, 76, 57, 47, 67, 77, 58, 35, 66, 72, 74, 64, 68, 84, 73, 62, 81, 78, 83, 75, 33, 48, 36, 51, 71, 82, 85, 86, 41, 46, 37, 32, 31, 42, 88, 87, 34, 26, 17, 25, 38, 27, 18, 28, 14, 24, 23, 22, 11, 12, 21, None, 13, 15, 16, None]"
0,4,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-14,Corner Bot White,"[43, 35, 66, 63, 64, 65, 62, 75, 76, 77, 88, 78, 36, 56, 67, 53, 26, 68, 86, 61, 73, 74, 83, 84, 82, 81, 51, 72, 71, 52, 85, 57, 41, 33, 34, 37, 23, 42, 31, 87, 38, 27, 58, 48, 18, 47, 46, 28, None, 32, 24, 25, 16, 22, 11, 21, 13, 12, 15, 14, 17, None]"
0,5,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",42,Lefty Black,"[34, 53, 63, 73, 72, 35, 36, 64, 74, 83, 62, 75, 84, 85, 66, 71, 81, 46, 56, 61, 51, 57, 65, 52, 58, 47, 67, 68, 76, 82, 86, 48, 38, 43, 33, 78, 88, 77, 37, 42, 31, 41, 32, 28, 18, 26, 16, 24, 14, 23, 13, 27, 25, 21, 11, 15, 22, 17, 87, 12, None]"
0,6,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'Black', '.', '.', 'Black', 'Black', 'Black', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'Black', '.', 'Black', 'Black', '.', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",37,Lefty Black,"[34, 53, 63, 73, 72, 35, 36, 71, 81, 64, 74, 83, 62, 75, 84, 85, 61, 82, 86, 51, 41, 76, 77, 26, 52, 46, 37, 66, 33, 56, 16, 67, 78, None]"
0,7,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",2,Lefty Black,"[34, 53, 63, 73, 72, 71, 81, 35, 83, 64, 74, 75, 85, 84, 52, 86, 87, 43, 33, 82, 46, 88, 65, 57, 61, 62, 36, 56, 66, 76, 68, 67, 78, 58, 77, 42, 32, 51, 41, 37, 38, 28, 18, 31, 21, 22, 11, 24, 14, 23, 48, 47, 13, 12, 25, 15, 16, 26, 27, 17, None]"
0,8,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",26,Lefty Black,"[34, 53, 63, 35, 43, 52, 36, 74, 73, 64, 84, 85, 62, 72, 51, 42, 75, 86, 81, 71, 61, 83, 33, 27, 18, 41, 31, 25, 65, 82, 87, 76, 56, 67, 14, 66, 68, 58, 48, 46, 37, 57, 24, 47, 38, 28, 26, 78, 88, 32, 21, 23, 12, 22, 13, 11, 77, 17, 16, 15, None]"
0,9,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-4,Corner Bot White,"[43, 35, 66, 65, 64, 77, 88, 75, 46, 57, 67, 87, 84, 73, 53, 85, 47, 83, 24, 42, 62, 51, 31, 52, 71, 72, 82, 81, 76, 63, 68, 32, 61, 58, 22, 37, 56, 36, 74, 34, 26, 33, 25, 78, 86, 27, 18, 14, 13, 28, 16, 17, 23, 21, 41, 15, 11, 12, 48, 38, None]"
0,10,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",18,Lefty Black,"[43, 35, 66, 65, 64, 77, 88, 75, 46, 67, 68, 57, 24, 63, 62, 53, 74, 48, 42, 87, 85, 61, 73, 84, 83, 32, 33, 72, 81, 82, 51, 41, 76, 47, 31, 25, 71, 86, 36, 56, 58, 37, 26, 78, 38, 52, 34, 23, 13, 21, 11, 22, 12, 17, 16, 28, 18, 27, None, 14, 15, None]"
